"stockid","stockid_orig","lh","id","ed","sigmaR","ar","sigmaC","ts","iter","bbmsy","bbmsy_status","ssp02","ssp13"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_4","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,4,2.50329255081576,"under","fully exploited","developing"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_5","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,5,2.53110356630019,"under","fully exploited","developing"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_6","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,6,2.36284109182308,"under","fully exploited","developing"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_7","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,7,2.719271487376,"under","fully exploited","developing"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_8","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,8,2.68526370775939,"under","fully exploited","developing"
"DE_100%_ED0_0.2sr_0ar_0sc_60yr_9","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.2,0,0,60,9,2.67730402843172,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_1","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,1,2.77230604571198,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_10","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,10,3.65059688263951,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_2","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,2,3.8111415371795,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_3","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,3,2.50528286330845,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_4","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,4,1.35181822065455,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_5","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,5,2.83172568559494,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_6","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,6,1.4259104327504,"fully","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_7","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,7,5.50102020442968,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_8","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,8,2.21260774515407,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_20yr_9","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0.2,20,9,2.45504657033931,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_1","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,1,2.77230604571198,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_10","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,10,3.65059688263951,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_2","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,2,3.8111415371795,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_3","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,3,2.50528286330845,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_4","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,4,1.35181822065455,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_5","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,5,2.83172568559494,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_6","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,6,1.4259104327504,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_7","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,7,5.50102020442968,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_8","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,8,2.21260774515407,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0.2sc_60yr_9","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0.2,60,9,2.45504657033931,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_1","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,1,2.77230604571198,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_10","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,10,3.65059688263951,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_2","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,2,3.8111415371795,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_3","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,3,2.50528286330845,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_4","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,4,1.35181822065455,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_5","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,5,2.83172568559494,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_6","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,6,1.4259104327504,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_7","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,7,5.50102020442968,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_8","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,8,2.21260774515407,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_20yr_9","DE_ID0_AR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0.8,0,20,9,2.45504657033931,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_1","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,1,2.77230604571198,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_10","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,10,3.65059688263951,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_2","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,2,3.8111415371795,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_3","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,3,2.50528286330845,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_4","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,4,1.35181822065455,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_5","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,5,2.83172568559494,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_6","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,6,1.4259104327504,"fully","overfished","overexploited"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_7","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,7,5.50102020442968,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_8","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,8,2.21260774515407,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0.8ar_0sc_60yr_9","DE_ID0_AR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0.8,0,60,9,2.45504657033931,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_1","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,1,1.93655762014037,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_10","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,10,3.10345354884638,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_2","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,2,3.02465704640708,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_3","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,3,3.00470569330119,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_4","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,4,3.16213855303084,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_5","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,5,2.99298817313085,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_6","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,6,2.4123945938391,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_7","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,7,3.65542490935566,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_8","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,8,3.49149734046574,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_20yr_9","DE_ID0_NR_ED0_SELF_UR0_TS20","DE",1,"ED0",0.6,0,0.2,20,9,3.46709755857049,"under","fully exploited","developing"
"DE_100%_ED0_0.6sr_0ar_0.2sc_60yr_1","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0,0.2,60,1,1.93655762014037,"under","overfished","overexploited"
"DE_100%_ED0_0.6sr_0ar_0.2sc_60yr_10","DE_ID0_NR_ED0_SELF_UR0_TS60","DE",1,"ED0",0.6,0,0.2,60,10,3.10345354884638,"under","overfished","overexploited"
